
(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.663: Failed to load plugin '/opt/nvidia/deepstream/deepstream-9.0/lib/gst-plugins/libnvdsgst_inferserver.so': libtritonserver.so: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.664: Failed to load plugin '/opt/nvidia/deepstream/deepstream-9.0/lib/gst-plugins/libnvdsgst_udp.so': librivermax.so.1: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.701: Failed to load plugin '/usr/lib/x86_64-linux-gnu/gstreamer-1.0/deepstream/libnvdsgst_inferserver.so': libtritonserver.so: cannot open shared object file: No such file or directory

(gst-plugin-scanner:72): GStreamer-WARNING **: 18:54:20.701: Failed to load plugin '/usr/lib/x86_64-linux-gnu/gstreamer-1.0/deepstream/libnvdsgst_udp.so': librivermax.so.1: cannot open shared object file: No such file or directory
QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
GL_VERSION       : 4.6.0 NVIDIA 580.126.09
GL_RENDERER      : NVIDIA GeForce RTX 5090 D/PCIe/SSE2
Qt profile/ver   : Compatibility 4.6
Starting RTSP pipeline: uri=rtsp://127.0.0.1:8554/p02cam latency=0ms dropOnLatency=true reconnectInterval=5s reconnectAttempts=0 rtp=tcp stallTimeout=2000ms
Protocol set: 0x4
Linked nvurisrcbin src pad to nvvideoconvert sink pad.
First NvBufSurface: numFilled=1 memType=2 colorFormat=19 layout=0 size=3840x2160 pitch=15360 dataPtr=0x719d22000000
Registered GL texture with CUDA: 3840x2160
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:00:42 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=598
fps=16 ingest-to-paint avg=0.3 ms max=2 ms | tex=3840x2160 | uptime=00:00:43 state=LIVE last-frame-age=33ms reconnects=0 stalls=0 frames=613
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:44 state=LIVE last-frame-age=39ms reconnects=0 stalls=0 frames=628
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:45 state=LIVE last-frame-age=43ms reconnects=0 stalls=0 frames=643
fps=16 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:00:46 state=LIVE last-frame-age=35ms reconnects=0 stalls=0 frames=658
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:47 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=673
fps=16 ingest-to-paint avg=0.7 ms max=1 ms | tex=3840x2160 | uptime=00:00:48 state=LIVE last-frame-age=38ms reconnects=0 stalls=0 frames=688
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:49 state=LIVE last-frame-age=39ms reconnects=0 stalls=0 frames=703
fps=15 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:00:50 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=718
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:51 state=LIVE last-frame-age=38ms reconnects=0 stalls=0 frames=733
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:00:52 state=LIVE last-frame-age=37ms reconnects=0 stalls=0 frames=748
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:53 state=LIVE last-frame-age=34ms reconnects=0 stalls=0 frames=763
fps=16 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:00:54 state=LIVE last-frame-age=42ms reconnects=0 stalls=0 frames=778
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:00:56 state=LIVE last-frame-age=5ms reconnects=0 stalls=0 frames=801
fps=16 ingest-to-paint avg=0.4 ms max=2 ms | tex=3840x2160 | uptime=00:00:57 state=LIVE last-frame-age=2ms reconnects=0 stalls=0 frames=816
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:00:58 state=LIVE last-frame-age=75ms reconnects=0 stalls=0 frames=830
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:00:59 state=LIVE last-frame-age=6ms reconnects=0 stalls=0 frames=846
fps=16 ingest-to-paint avg=0.7 ms max=2 ms | tex=3840x2160 | uptime=00:01:00 state=LIVE last-frame-age=9ms reconnects=0 stalls=0 frames=861
fps=16 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:01 state=LIVE last-frame-age=0ms reconnects=0 stalls=0 frames=876
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:02 state=LIVE last-frame-age=72ms reconnects=0 stalls=0 frames=890
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:03 state=LIVE last-frame-age=43ms reconnects=0 stalls=0 frames=913
fps=22 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:05 state=LIVE last-frame-age=471ms reconnects=0 stalls=0 frames=935
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:06 state=LIVE last-frame-age=11ms reconnects=0 stalls=0 frames=950
fps=15 ingest-to-paint avg=0.5 ms max=2 ms | tex=3840x2160 | uptime=00:01:07 state=LIVE last-frame-age=74ms reconnects=0 stalls=0 frames=965
fps=16 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:08 state=LIVE last-frame-age=2ms reconnects=0 stalls=0 frames=981
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:09 state=LIVE last-frame-age=0ms reconnects=0 stalls=0 frames=996
fps=16 ingest-to-paint avg=0.7 ms max=2 ms | tex=3840x2160 | uptime=00:01:10 state=LIVE last-frame-age=10ms reconnects=0 stalls=0 frames=1011
fps=17 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:11 state=LIVE last-frame-age=10ms reconnects=0 stalls=0 frames=1026
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:12 state=LIVE last-frame-age=6ms reconnects=0 stalls=0 frames=1041
fps=15 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:13 state=LIVE last-frame-age=4ms reconnects=0 stalls=0 frames=1056
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:14 state=LIVE last-frame-age=2ms reconnects=0 stalls=0 frames=1071
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:15 state=LIVE last-frame-age=5ms reconnects=0 stalls=0 frames=1086
fps=16 ingest-to-paint avg=0.6 ms max=2 ms | tex=3840x2160 | uptime=00:01:16 state=LIVE last-frame-age=44ms reconnects=0 stalls=0 frames=1108
fps=16 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:17 state=LIVE last-frame-age=34ms reconnects=0 stalls=0 frames=1123
fps=15 ingest-to-paint avg=0.3 ms max=1 ms | tex=3840x2160 | uptime=00:01:18 state=LIVE last-frame-age=38ms reconnects=0 stalls=0 frames=1138
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:19 state=LIVE last-frame-age=40ms reconnects=0 stalls=0 frames=1153
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:20 state=LIVE last-frame-age=35ms reconnects=0 stalls=0 frames=1168
fps=15 ingest-to-paint avg=0.5 ms max=2 ms | tex=3840x2160 | uptime=00:01:21 state=LIVE last-frame-age=42ms reconnects=0 stalls=0 frames=1183
fps=16 ingest-to-paint avg=0.4 ms max=1 ms | tex=3840x2160 | uptime=00:01:22 state=LIVE last-frame-age=36ms reconnects=0 stalls=0 frames=1198
fps=16 ingest-to-paint avg=0.6 ms max=1 ms | tex=3840x2160 | uptime=00:01:23 state=LIVE last-frame-age=37ms reconnects=0 stalls=0 frames=1213
fps=16 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:24 state=LIVE last-frame-age=42ms reconnects=0 stalls=0 frames=1228
fps=15 ingest-to-paint avg=0.5 ms max=1 ms | tex=3840x2160 | uptime=00:01:25 state=LIVE last-frame-age=37ms reconnects=0 stalls=0 frames=1243
fps=15 ingest-to-paint avg=0.5 ms max=2 ms | tex=3840x2160 | uptime=00:01:26 state=LIVE last-frame-age=38ms reconnects=0 stalls=0 frames=1258
